regime,method,seed,system,sd_nmae,sd_nrmse
loso,moirai,17,building_energy,0.2533334554596388,0.4249493029383012
loso,moirai,17,hydraulic,0.11051754124506197,0.20744137958866496
loso,moirai,17,metropt,0.48126194299636343,1.1919161727147143
loso,moirai,17,pmsm,0.04650087652555826,0.13090136103530117
loso,moirai,17,steel_industry,0.47254366542581094,0.8826893487444766
loso,moirai,29,building_energy,0.2525880966246556,0.4236386713683555
loso,moirai,29,hydraulic,0.11074695437808006,0.20743315241812668
loso,moirai,29,metropt,0.4819910889686498,1.1922291790429103
loso,moirai,29,pmsm,0.04639052680460105,0.13067615806286179
loso,moirai,29,steel_industry,0.47186879989609426,0.8824788225004184
loso,moirai,43,building_energy,0.2524435636357716,0.42346278262663517
loso,moirai,43,hydraulic,0.11034860706596579,0.2072460966776926
loso,moirai,43,metropt,0.48089328253800234,1.1906405297235365
loso,moirai,43,pmsm,0.0463797182174067,0.1306067656220665
loso,moirai,43,steel_industry,0.47228112774682335,0.8830271305149363
loso,moirai,71,building_energy,0.25222912206125475,0.42355545033140685
loso,moirai,71,hydraulic,0.11027603011480092,0.20719166438839315
loso,moirai,71,metropt,0.48327988093129026,1.1912221233760794
loso,moirai,71,pmsm,0.046404718041992754,0.13063940705927998
loso,moirai,71,steel_industry,0.4720028670065536,0.8823608700735293
loso,moirai,101,building_energy,0.2526160385673579,0.42363125776781163
loso,moirai,101,hydraulic,0.11067712040227169,0.20764700193137864
loso,moirai,101,metropt,0.48074829288576426,1.1918326213032209
loso,moirai,101,pmsm,0.046347346999191234,0.13050476388781276
loso,moirai,101,steel_industry,0.47192120094377615,0.8821699574285141
loso,gaugeformer_v13,17,building_energy,0.24866852684317947,0.41788786072840794
loso,gaugeformer_v13,17,hydraulic,0.10660642161571947,0.20499603655038404
loso,gaugeformer_v13,17,metropt,0.47369159149758705,1.192267427066873
loso,gaugeformer_v13,17,pmsm,0.046019848636805784,0.12978570038521334
loso,gaugeformer_v13,17,steel_industry,0.46986377730406675,0.8863217708716828
loso,gaugeformer_v13,29,building_energy,0.24849582759120797,0.4177774966840804
loso,gaugeformer_v13,29,hydraulic,0.1068015318397183,0.20507578191314185
loso,gaugeformer_v13,29,metropt,0.47474457763917804,1.1928252884406867
loso,gaugeformer_v13,29,pmsm,0.04593366136019478,0.12965941325212985
loso,gaugeformer_v13,29,steel_industry,0.46977137705665034,0.8864957447678723
loso,gaugeformer_v13,43,building_energy,0.24866900029907063,0.41795235286038473
loso,gaugeformer_v13,43,hydraulic,0.10662137208329764,0.204994986608589
loso,gaugeformer_v13,43,metropt,0.47314385915123536,1.190974309118613
loso,gaugeformer_v13,43,pmsm,0.04591149299379241,0.1295447316314119
loso,gaugeformer_v13,43,steel_industry,0.4700619467990016,0.8866235164638592
loso,gaugeformer_v13,71,building_energy,0.2480826635159514,0.41727479366732123
loso,gaugeformer_v13,71,hydraulic,0.10653713222549183,0.20490245320366132
loso,gaugeformer_v13,71,metropt,0.4760751547023294,1.1919945191160575
loso,gaugeformer_v13,71,pmsm,0.04593900620269781,0.12961468808375326
loso,gaugeformer_v13,71,steel_industry,0.46931386224656074,0.8857631818962114
loso,gaugeformer_v13,101,building_energy,0.24839618767888585,0.41754992418314696
loso,gaugeformer_v13,101,hydraulic,0.1066515542124591,0.20492613917660105
loso,gaugeformer_v13,101,metropt,0.47316749306904343,1.1923169077106692
loso,gaugeformer_v13,101,pmsm,0.045879833378078556,0.1294869704914442
loso,gaugeformer_v13,101,steel_industry,0.4689102528900486,0.8854590958661731
loso,timer_xl,17,building_energy,0.26149240615862085,0.4154475229158138
loso,timer_xl,17,hydraulic,0.33230471578351134,0.4181831640170139
loso,timer_xl,17,metropt,0.5984678727346091,1.2145564386438836
loso,timer_xl,17,pmsm,0.05087531669366496,0.13597203974462724
loso,timer_xl,17,steel_industry,0.5510247032050561,0.8367716950845321
loso,timer_xl,29,building_energy,0.2605001982719996,0.41312952536184017
loso,timer_xl,29,hydraulic,0.2863767786705271,0.37178441280510516
loso,timer_xl,29,metropt,0.607085950665781,1.2220069163856877
loso,timer_xl,29,pmsm,0.051263718536681734,0.1370335127527918
loso,timer_xl,29,steel_industry,0.5551818158344096,0.8393890578775249
loso,timer_xl,43,building_energy,0.26214784526316526,0.4155687057240453
loso,timer_xl,43,hydraulic,0.3010532035964342,0.3841841953669487
loso,timer_xl,43,metropt,0.6296712626562072,1.2449133156153385
loso,timer_xl,43,pmsm,0.0508894077437595,0.13618146381315258
loso,timer_xl,43,steel_industry,0.547842524672163,0.8213415399938693
loso,timer_xl,71,building_energy,0.26264793100428757,0.41466926056016296
loso,timer_xl,71,hydraulic,0.3344072472389056,0.42044496028257927
loso,timer_xl,71,metropt,0.6103192208273692,1.2364895814917158
loso,timer_xl,71,pmsm,0.050721528805504616,0.13595605494608617
loso,timer_xl,71,steel_industry,0.5457995417742147,0.8312163054416819
loso,timer_xl,101,building_energy,0.2640464800200818,0.4180245840440895
loso,timer_xl,101,hydraulic,0.32365664108445813,0.4106995090459939
loso,timer_xl,101,metropt,0.6226687362458281,1.2413939102736262
loso,timer_xl,101,pmsm,0.05066060567185696,0.13566302643158995
loso,timer_xl,101,steel_industry,0.5600517452989037,0.8336683394465731
loso,timer_xl_gaugeformer,17,building_energy,0.25580261533654963,0.41767871570998943
loso,timer_xl_gaugeformer,17,hydraulic,0.21563966500335013,0.30454948894840994
loso,timer_xl_gaugeformer,17,metropt,0.5419301934841866,1.1905145222105724
loso,timer_xl_gaugeformer,17,pmsm,0.04619771103964667,0.1260999950282525
loso,timer_xl_gaugeformer,17,steel_industry,0.5138680944321881,0.8291613250146026
loso,timer_xl_gaugeformer,29,building_energy,0.25501917355613646,0.41559266384993243
loso,timer_xl_gaugeformer,29,hydraulic,0.19176880944327312,0.2806661667946259
loso,timer_xl_gaugeformer,29,metropt,0.5466911488241878,1.1933790645641427
loso,timer_xl_gaugeformer,29,pmsm,0.046325291333281095,0.12634087832528398
loso,timer_xl_gaugeformer,29,steel_industry,0.5204604367591922,0.8336322448416267
loso,timer_xl_gaugeformer,43,building_energy,0.25568257114187753,0.41694808976619524
loso,timer_xl_gaugeformer,43,hydraulic,0.19992557339891634,0.28742989712680833
loso,timer_xl_gaugeformer,43,metropt,0.5626953285591584,1.2064744106932233
loso,timer_xl_gaugeformer,43,pmsm,0.04618547686143215,0.12618335732908675
loso,timer_xl_gaugeformer,43,steel_industry,0.5144500689696343,0.8180864786537244
loso,timer_xl_gaugeformer,71,building_energy,0.25618192361495074,0.41721210438145867
loso,timer_xl_gaugeformer,71,hydraulic,0.21840915412115222,0.307690830125857
loso,timer_xl_gaugeformer,71,metropt,0.5489187338192288,1.202281609581476
loso,timer_xl_gaugeformer,71,pmsm,0.04613324177336842,0.12612105645242558
loso,timer_xl_gaugeformer,71,steel_industry,0.5115941465631034,0.8248785968776119
loso,timer_xl_gaugeformer,101,building_energy,0.25772739377390413,0.4196161550525591
loso,timer_xl_gaugeformer,101,hydraulic,0.2127758804136891,0.30300395076490794
loso,timer_xl_gaugeformer,101,metropt,0.5563076609718097,1.2039794481554493
loso,timer_xl_gaugeformer,101,pmsm,0.04608844796540958,0.12595405806605084
loso,timer_xl_gaugeformer,101,steel_industry,0.5196565445206837,0.8269382055484398
