system,seed,method,sd_nmae
pmsm,101,blend_history,0.04408859921163308
steel_industry,0,persistence,0.4672232548428286
steel_industry,0,damped_trend_12_0.8,0.49058868200892986
steel_industry,0,damped_trend_24_0.9,0.4754576679979416
steel_industry,0,recent_median_6,0.489808740012442
steel_industry,0,recent_median_12,0.5222189179721406
steel_industry,0,recent_median_24,0.719736488608696
steel_industry,0,holt_0.3_0.1_0.8,0.48384750622203726
steel_industry,0,holt_0.3_0.1_0.95,0.6237420997254466
steel_industry,0,history_local,0.47518073398587496
steel_industry,0,mean_bank,0.482876032877091
steel_industry,17,moirai,0.4725436654433324
steel_industry,17,gaugeformer_v13,0.46986377754152564
steel_industry,17,blend_persistence,0.46668404336561276
steel_industry,17,blend_history,0.4691101787787645
steel_industry,29,moirai,0.4718687998556882
steel_industry,29,gaugeformer_v13,0.46977137700123145
steel_industry,29,blend_persistence,0.46644687591494083
steel_industry,29,blend_history,0.4688380910746529
steel_industry,43,moirai,0.47228112766127667
steel_industry,43,gaugeformer_v13,0.47006194694635495
steel_industry,43,blend_persistence,0.4666000986248326
steel_industry,43,blend_history,0.46909740520048027
steel_industry,71,moirai,0.4720028669506182
steel_industry,71,gaugeformer_v13,0.4693138621684973
steel_industry,71,blend_persistence,0.4665942465192116
steel_industry,71,blend_history,0.4691521842159553
steel_industry,101,moirai,0.47192120112997527
steel_industry,101,gaugeformer_v13,0.46891025292651245
steel_industry,101,blend_persistence,0.46646312047357164
steel_industry,101,blend_history,0.46884441517041553
