system,seed,method,bin,first_window,last_window,windows,progress_percent,sd_nmae
building_energy,29,gaugeformer_v13,20,152,159,8,97.5,0.32795631630305383
building_energy,43,moirai,1,0,7,8,2.5,0.23759919239717697
building_energy,43,moirai,2,8,15,8,7.5,0.29051543439516675
building_energy,43,moirai,3,16,23,8,12.5,0.26524055728774454
building_energy,43,moirai,4,24,31,8,17.5,0.23187540167712292
building_energy,43,moirai,5,32,39,8,22.5,0.28228693212206324
building_energy,43,moirai,6,40,47,8,27.5,0.2670932261276834
building_energy,43,moirai,7,48,55,8,32.5,0.2251323058187883
building_energy,43,moirai,8,56,63,8,37.5,0.2232995337795616
building_energy,43,moirai,9,64,71,8,42.5,0.2368775984006953
building_energy,43,moirai,10,72,79,8,47.5,0.303176545219255
building_energy,43,moirai,11,80,87,8,52.5,0.2482461199499987
building_energy,43,moirai,12,88,95,8,57.5,0.2878925224490075
building_energy,43,moirai,13,96,103,8,62.5,0.23003452320733403
building_energy,43,moirai,14,104,111,8,67.5,0.24609648734459602
building_energy,43,moirai,15,112,119,8,72.5,0.2530882833327704
building_energy,43,moirai,16,120,127,8,77.5,0.18397312211592767
building_energy,43,moirai,17,128,135,8,82.5,0.2089791189220286
building_energy,43,moirai,18,136,143,8,87.5,0.25543165630157694
building_energy,43,moirai,19,144,151,8,92.5,0.2507324832947446
building_energy,43,moirai,20,152,159,8,97.5,0.3213002283147367
building_energy,43,gaugeformer_v13,1,0,7,8,2.5,0.23759919239717697
building_energy,43,gaugeformer_v13,2,8,15,8,7.5,0.2891447569041588
building_energy,43,gaugeformer_v13,3,16,23,8,12.5,0.27924741424336613
building_energy,43,gaugeformer_v13,4,24,31,8,17.5,0.22822861288067114
building_energy,43,gaugeformer_v13,5,32,39,8,22.5,0.2874065514396077
building_energy,43,gaugeformer_v13,6,40,47,8,27.5,0.26659395211476006
building_energy,43,gaugeformer_v13,7,48,55,8,32.5,0.21654801788752673
building_energy,43,gaugeformer_v13,8,56,63,8,37.5,0.21097626117778967
building_energy,43,gaugeformer_v13,9,64,71,8,42.5,0.2345885981204331
building_energy,43,gaugeformer_v13,10,72,79,8,47.5,0.2989107160701238
building_energy,43,gaugeformer_v13,11,80,87,8,52.5,0.2395869382590341
building_energy,43,gaugeformer_v13,12,88,95,8,57.5,0.2723812457824921
building_energy,43,gaugeformer_v13,13,96,103,8,62.5,0.22302167014335966
building_energy,43,gaugeformer_v13,14,104,111,8,67.5,0.24941724876232796
building_energy,43,gaugeformer_v13,15,112,119,8,72.5,0.2448712207387152
building_energy,43,gaugeformer_v13,16,120,127,8,77.5,0.18073919906453242
building_energy,43,gaugeformer_v13,17,128,135,8,82.5,0.1975216356664452
building_energy,43,gaugeformer_v13,18,136,143,8,87.5,0.2528029326551455
building_energy,43,gaugeformer_v13,19,144,151,8,92.5,0.23618577782849487
building_energy,43,gaugeformer_v13,20,152,159,8,97.5,0.3276080635246893
building_energy,71,moirai,1,0,7,8,2.5,0.23686577849390517
building_energy,71,moirai,2,8,15,8,7.5,0.2881897391937709
building_energy,71,moirai,3,16,23,8,12.5,0.2632159649987859
building_energy,71,moirai,4,24,31,8,17.5,0.2317959543154535
building_energy,71,moirai,5,32,39,8,22.5,0.28045761145229653
building_energy,71,moirai,6,40,47,8,27.5,0.2660476336308471
building_energy,71,moirai,7,48,55,8,32.5,0.2254026523050412
building_energy,71,moirai,8,56,63,8,37.5,0.22262042160132595
building_energy,71,moirai,9,64,71,8,42.5,0.23732697259512486
building_energy,71,moirai,10,72,79,8,47.5,0.3048435162253931
building_energy,71,moirai,11,80,87,8,52.5,0.24806771115962234
building_energy,71,moirai,12,88,95,8,57.5,0.2874108089782557
building_energy,71,moirai,13,96,103,8,62.5,0.22983614787287876
building_energy,71,moirai,14,104,111,8,67.5,0.24530195072982727
building_energy,71,moirai,15,112,119,8,72.5,0.25334337218543224
building_energy,71,moirai,16,120,127,8,77.5,0.18322787391031478
building_energy,71,moirai,17,128,135,8,82.5,0.2091542657323366
building_energy,71,moirai,18,136,143,8,87.5,0.255162164382582
building_energy,71,moirai,19,144,151,8,92.5,0.25150497595902693
building_energy,71,moirai,20,152,159,8,97.5,0.32480692506419473
building_energy,71,gaugeformer_v13,1,0,7,8,2.5,0.23686577849390517
building_energy,71,gaugeformer_v13,2,8,15,8,7.5,0.28495585703832466
building_energy,71,gaugeformer_v13,3,16,23,8,12.5,0.27576072663576884
building_energy,71,gaugeformer_v13,4,24,31,8,17.5,0.22759489119176537
building_energy,71,gaugeformer_v13,5,32,39,8,22.5,0.28596154667907453
building_energy,71,gaugeformer_v13,6,40,47,8,27.5,0.26473018752887617
building_energy,71,gaugeformer_v13,7,48,55,8,32.5,0.2193389832262256
building_energy,71,gaugeformer_v13,8,56,63,8,37.5,0.2108826270890922
building_energy,71,gaugeformer_v13,9,64,71,8,42.5,0.2333773507150749
building_energy,71,gaugeformer_v13,10,72,79,8,47.5,0.29969197599361547
building_energy,71,gaugeformer_v13,11,80,87,8,52.5,0.2386940468012081
building_energy,71,gaugeformer_v13,12,88,95,8,57.5,0.2724041727711014
building_energy,71,gaugeformer_v13,13,96,103,8,62.5,0.22285779345451337
building_energy,71,gaugeformer_v13,14,104,111,8,67.5,0.24875321685087734
building_energy,71,gaugeformer_v13,15,112,119,8,72.5,0.24617351671683643
building_energy,71,gaugeformer_v13,16,120,127,8,77.5,0.18001665201612427
building_energy,71,gaugeformer_v13,17,128,135,8,82.5,0.1967284014030427
building_energy,71,gaugeformer_v13,18,136,143,8,87.5,0.25099957731502326
building_energy,71,gaugeformer_v13,19,144,151,8,92.5,0.23809546053572356
building_energy,71,gaugeformer_v13,20,152,159,8,97.5,0.3277705078043391
building_energy,101,moirai,1,0,7,8,2.5,0.23952583113377166
building_energy,101,moirai,2,8,15,8,7.5,0.2910762904792709
building_energy,101,moirai,3,16,23,8,12.5,0.26461295831362475
building_energy,101,moirai,4,24,31,8,17.5,0.23089013394245575
building_energy,101,moirai,5,32,39,8,22.5,0.28169253113456577
building_energy,101,moirai,6,40,47,8,27.5,0.2683129826333512
building_energy,101,moirai,7,48,55,8,32.5,0.22550624852062462
building_energy,101,moirai,8,56,63,8,37.5,0.2234334138904468
building_energy,101,moirai,9,64,71,8,42.5,0.23759002836867993
building_energy,101,moirai,10,72,79,8,47.5,0.302028126809844
building_energy,101,moirai,11,80,87,8,52.5,0.24679840685234358
building_energy,101,moirai,12,88,95,8,57.5,0.2883298641713646
building_energy,101,moirai,13,96,103,8,62.5,0.23077722703059173
building_energy,101,moirai,14,104,111,8,67.5,0.24711741047840213
building_energy,101,moirai,15,112,119,8,72.5,0.2522361127295672
building_energy,101,moirai,16,120,127,8,77.5,0.18413369331486296
building_energy,101,moirai,17,128,135,8,82.5,0.2082791995501855
building_energy,101,moirai,18,136,143,8,87.5,0.2551169826249452
building_energy,101,moirai,19,144,151,8,92.5,0.2513536813684966
building_energy,101,moirai,20,152,159,8,97.5,0.32350964860985526
building_energy,101,gaugeformer_v13,1,0,7,8,2.5,0.23952583113377166
building_energy,101,gaugeformer_v13,2,8,15,8,7.5,0.2903266382395883
building_energy,101,gaugeformer_v13,3,16,23,8,12.5,0.276785643295154
building_energy,101,gaugeformer_v13,4,24,31,8,17.5,0.22739844522079872
building_energy,101,gaugeformer_v13,5,32,39,8,22.5,0.2841748783892813
building_energy,101,gaugeformer_v13,6,40,47,8,27.5,0.2690593501414642
building_energy,101,gaugeformer_v13,7,48,55,8,32.5,0.21610676445948804
building_energy,101,gaugeformer_v13,8,56,63,8,37.5,0.21030523271585752
building_energy,101,gaugeformer_v13,9,64,71,8,42.5,0.23393182583075856
building_energy,101,gaugeformer_v13,10,72,79,8,47.5,0.29638375723406735
building_energy,101,gaugeformer_v13,11,80,87,8,52.5,0.23857146362170914
building_energy,101,gaugeformer_v13,12,88,95,8,57.5,0.27315150024576085
building_energy,101,gaugeformer_v13,13,96,103,8,62.5,0.22318141708672662
building_energy,101,gaugeformer_v13,14,104,111,8,67.5,0.2500807767791171
building_energy,101,gaugeformer_v13,15,112,119,8,72.5,0.24482392288111746
building_energy,101,gaugeformer_v13,16,120,127,8,77.5,0.18088725734924202
building_energy,101,gaugeformer_v13,17,128,135,8,82.5,0.19691643529396138
building_energy,101,gaugeformer_v13,18,136,143,8,87.5,0.2509128066529311
building_energy,101,gaugeformer_v13,19,144,151,8,92.5,0.23803086610595492
building_energy,101,gaugeformer_v13,20,152,159,8,97.5,0.3273689412906634
hydraulic,17,moirai,1,0,22,23,2.6077097505668934,0.10883244432544259
hydraulic,17,moirai,2,23,44,22,7.709750566893424,0.11069330075139834
hydraulic,17,moirai,3,45,66,22,12.698412698412698,0.10696384727869455
hydraulic,17,moirai,4,67,88,22,17.687074829931973,0.10633081679764281
hydraulic,17,moirai,5,89,110,22,22.675736961451246,0.10847292908897944
hydraulic,17,moirai,6,111,132,22,27.664399092970523,0.10885420084276443
hydraulic,17,moirai,7,133,154,22,32.6530612244898,0.16392720901891117
hydraulic,17,moirai,8,155,176,22,37.641723356009074,0.10652109628029108
hydraulic,17,moirai,9,177,198,22,42.63038548752834,0.10873415580836401
hydraulic,17,moirai,10,199,220,22,47.61904761904762,0.10544267209291742
hydraulic,17,moirai,11,221,242,22,52.60770975056689,0.10784042675136465
hydraulic,17,moirai,12,243,264,22,57.59637188208617,0.10581530301863526
hydraulic,17,moirai,13,265,286,22,62.585034013605444,0.1093144364552133
hydraulic,17,moirai,14,287,308,22,67.57369614512471,0.10920086684261923
hydraulic,17,moirai,15,309,330,22,72.56235827664399,0.10536121722711463
hydraulic,17,moirai,16,331,352,22,77.55102040816327,0.10656446474139153
hydraulic,17,moirai,17,353,374,22,82.53968253968254,0.10598865021594671
hydraulic,17,moirai,18,375,396,22,87.52834467120181,0.10655115471749162
hydraulic,17,moirai,19,397,418,22,92.51700680272108,0.1107009055970368
hydraulic,17,moirai,20,419,440,22,97.50566893424036,0.10831732218610218
hydraulic,17,gaugeformer_v13,1,0,22,23,2.6077097505668934,0.10717475339094266
hydraulic,17,gaugeformer_v13,2,23,44,22,7.709750566893424,0.10627807520714509
hydraulic,17,gaugeformer_v13,3,45,66,22,12.698412698412698,0.1025042797968868
hydraulic,17,gaugeformer_v13,4,67,88,22,17.687074829931973,0.10274230076726414
