system,seed,method,bin,step,sd_nmae
building_energy,17,moirai,5,21,0.4535112882706279
building_energy,17,moirai,5,22,0.45714938877694206
building_energy,17,moirai,5,23,0.47035971561559364
building_energy,17,moirai,5,24,0.47309596805449367
building_energy,17,moirai,6,1,0.05671539321752603
building_energy,17,moirai,6,2,0.08280625064399602
building_energy,17,moirai,6,3,0.10802911021799845
building_energy,17,moirai,6,4,0.11714224615553949
building_energy,17,moirai,6,5,0.16352652311089136
building_energy,17,moirai,6,6,0.17446148888581742
building_energy,17,moirai,6,7,0.19111132599032302
building_energy,17,moirai,6,8,0.2081921196269612
building_energy,17,moirai,6,9,0.23031391871367837
building_energy,17,moirai,6,10,0.24795320935301227
building_energy,17,moirai,6,11,0.270127938692373
building_energy,17,moirai,6,12,0.2878799155300828
building_energy,17,moirai,6,13,0.2828519574051513
building_energy,17,moirai,6,14,0.276236769406484
building_energy,17,moirai,6,15,0.28521441148897525
building_energy,17,moirai,6,16,0.29102697108646786
building_energy,17,moirai,6,17,0.3394369521006828
building_energy,17,moirai,6,18,0.35578765766011833
building_energy,17,moirai,6,19,0.36988239481216095
building_energy,17,moirai,6,20,0.37852079002120986
building_energy,17,moirai,6,21,0.3990548507847572
building_energy,17,moirai,6,22,0.4318804116333067
building_energy,17,moirai,6,23,0.43559566005155675
building_energy,17,moirai,6,24,0.4621454240307306
building_energy,17,moirai,7,1,0.04261235235065635
building_energy,17,moirai,7,2,0.07979382504757057
building_energy,17,moirai,7,3,0.0879176151132855
building_energy,17,moirai,7,4,0.09718762802949876
building_energy,17,moirai,7,5,0.1187707627055013
building_energy,17,moirai,7,6,0.11070949716945822
building_energy,17,moirai,7,7,0.1555884486015668
building_energy,17,moirai,7,8,0.1745888477027308
building_energy,17,moirai,7,9,0.19056419961888824
building_energy,17,moirai,7,10,0.21435093145444112
building_energy,17,moirai,7,11,0.21064270402731555
building_energy,17,moirai,7,12,0.2231613051658998
building_energy,17,moirai,7,13,0.22942795759507417
building_energy,17,moirai,7,14,0.2394050951735724
building_energy,17,moirai,7,15,0.26711819286849087
building_energy,17,moirai,7,16,0.2632442300263646
building_energy,17,moirai,7,17,0.31664469011712615
building_energy,17,moirai,7,18,0.3155753000428979
building_energy,17,moirai,7,19,0.30274148462212863
building_energy,17,moirai,7,20,0.3228439612863264
building_energy,17,moirai,7,21,0.3516488277483149
building_energy,17,moirai,7,22,0.35625751669945854
building_energy,17,moirai,7,23,0.36741107563673164
building_energy,17,moirai,7,24,0.3789873951934718
building_energy,17,moirai,8,1,0.038768207457581354
building_energy,17,moirai,8,2,0.060500620432503274
building_energy,17,moirai,8,3,0.08285213626082454
building_energy,17,moirai,8,4,0.10183129860775646
building_energy,17,moirai,8,5,0.1328648765851757
building_energy,17,moirai,8,6,0.13995793825667405
building_energy,17,moirai,8,7,0.14896171248748236
building_energy,17,moirai,8,8,0.16406389715716685
building_energy,17,moirai,8,9,0.1809323236030575
building_energy,17,moirai,8,10,0.21022732834850127
building_energy,17,moirai,8,11,0.2216026072187782
building_energy,17,moirai,8,12,0.21632215081628176
building_energy,17,moirai,8,13,0.2214404030887513
building_energy,17,moirai,8,14,0.24237944396218974
building_energy,17,moirai,8,15,0.2725205698445571
building_energy,17,moirai,8,16,0.26981014100849665
building_energy,17,moirai,8,17,0.30938357429735047
building_energy,17,moirai,8,18,0.31302176403680587
building_energy,17,moirai,8,19,0.3144807206750024
building_energy,17,moirai,8,20,0.3210314839577719
building_energy,17,moirai,8,21,0.3316628423374468
building_energy,17,moirai,8,22,0.34552333892650045
building_energy,17,moirai,8,23,0.37080155771542944
building_energy,17,moirai,8,24,0.3692460354598699
building_energy,17,moirai,9,1,0.04166337796199122
building_energy,17,moirai,9,2,0.06224059984073845
building_energy,17,moirai,9,3,0.09005837819749817
building_energy,17,moirai,9,4,0.11602305077619038
building_energy,17,moirai,9,5,0.14499911305230498
building_energy,17,moirai,9,6,0.17203854177277098
building_energy,17,moirai,9,7,0.17779506513232737
building_energy,17,moirai,9,8,0.1902230168653716
building_energy,17,moirai,9,9,0.21669901811819398
building_energy,17,moirai,9,10,0.23304244851004752
building_energy,17,moirai,9,11,0.2478120404820095
building_energy,17,moirai,9,12,0.2426232847346614
building_energy,17,moirai,9,13,0.24113295228316645
building_energy,17,moirai,9,14,0.2576447091607951
building_energy,17,moirai,9,15,0.2719489904113081
building_energy,17,moirai,9,16,0.2879777832446784
building_energy,17,moirai,9,17,0.31603218963706864
building_energy,17,moirai,9,18,0.33063972578350814
building_energy,17,moirai,9,19,0.3228840333876617
building_energy,17,moirai,9,20,0.3413410937973737
building_energy,17,moirai,9,21,0.3454707724197667
building_energy,17,moirai,9,22,0.3494401983701053
building_energy,17,moirai,9,23,0.3524739531325843
building_energy,17,moirai,9,24,0.3529649457229513
building_energy,17,moirai,10,1,0.05064910390145293
building_energy,17,moirai,10,2,0.08802830754416172
building_energy,17,moirai,10,3,0.10829963006869572
building_energy,17,moirai,10,4,0.16283616483044555
building_energy,17,moirai,10,5,0.1749564497825492
building_energy,17,moirai,10,6,0.18704015709793995
building_energy,17,moirai,10,7,0.2009098096560045
building_energy,17,moirai,10,8,0.21485096416538804
building_energy,17,moirai,10,9,0.23192658378689135
building_energy,17,moirai,10,10,0.2500229179071586
building_energy,17,moirai,10,11,0.27255824999742817
building_energy,17,moirai,10,12,0.28159927896711473
building_energy,17,moirai,10,13,0.3048488230240264
building_energy,17,moirai,10,14,0.3230548165271893
building_energy,17,moirai,10,15,0.3330376210713214
building_energy,17,moirai,10,16,0.3481604311323182
building_energy,17,moirai,10,17,0.4060738857559499
building_energy,17,moirai,10,18,0.4378359701832547
building_energy,17,moirai,10,19,0.4537562675172338
building_energy,17,moirai,10,20,0.46019094429672436
building_energy,17,moirai,10,21,0.4506441255926441
building_energy,17,moirai,10,22,0.5131999613852384
building_energy,17,moirai,10,23,0.53696534862421
building_energy,17,moirai,10,24,0.5273101402222455
building_energy,17,moirai,11,1,0.04202932809771588
building_energy,17,moirai,11,2,0.06027629518285536
building_energy,17,moirai,11,3,0.08435097230929217
building_energy,17,moirai,11,4,0.10374576627903027
building_energy,17,moirai,11,5,0.11977985454763708
building_energy,17,moirai,11,6,0.13526155121647843
building_energy,17,moirai,11,7,0.15099373651767137
building_energy,17,moirai,11,8,0.1654757308413006
building_energy,17,moirai,11,9,0.20291177939685362
building_energy,17,moirai,11,10,0.2652501099633345
building_energy,17,moirai,11,11,0.2853397633082794
building_energy,17,moirai,11,12,0.27937276210409273
building_energy,17,moirai,11,13,0.30079110390044905
building_energy,17,moirai,11,14,0.29516293909667496
building_energy,17,moirai,11,15,0.29228363298540894
building_energy,17,moirai,11,16,0.29903118847048227
building_energy,17,moirai,11,17,0.31584573758800166
building_energy,17,moirai,11,18,0.32101493288435407
building_energy,17,moirai,11,19,0.3286212196283201
building_energy,17,moirai,11,20,0.34496594071434966
building_energy,17,moirai,11,21,0.3581044495003919
building_energy,17,moirai,11,22,0.3906030848390242
building_energy,17,moirai,11,23,0.39330686857216823
building_energy,17,moirai,11,24,0.40182965019508227
building_energy,17,moirai,12,1,0.06123890400014017
building_energy,17,moirai,12,2,0.09399371320077364
building_energy,17,moirai,12,3,0.11133240883833631
building_energy,17,moirai,12,4,0.15512620921436732
building_energy,17,moirai,12,5,0.18730522163546842
building_energy,17,moirai,12,6,0.17960122564728578
building_energy,17,moirai,12,7,0.20146967566397317
building_energy,17,moirai,12,8,0.21180081249216165
building_energy,17,moirai,12,9,0.27099199557495707
building_energy,17,moirai,12,10,0.28025401055660015
building_energy,17,moirai,12,11,0.29079907282216044
building_energy,17,moirai,12,12,0.28783842841421314
building_energy,17,moirai,12,13,0.2811308529955653
building_energy,17,moirai,12,14,0.3162212998242667
building_energy,17,moirai,12,15,0.3310239548579428
building_energy,17,moirai,12,16,0.3419204659128087
building_energy,17,moirai,12,17,0.37508255152287084
building_energy,17,moirai,12,18,0.39248047558939175
building_energy,17,moirai,12,19,0.38145516092758075
building_energy,17,moirai,12,20,0.40730498638048995
building_energy,17,moirai,12,21,0.40888293364771194
building_energy,17,moirai,12,22,0.42912417265930275
building_energy,17,moirai,12,23,0.44428468193293075
building_energy,17,moirai,12,24,0.461190037917604
building_energy,17,moirai,13,1,0.04061213034507715
building_energy,17,moirai,13,2,0.04610572051566955
