system,seed,method,step,sd_nmae
building_energy,0,recent_median_12,10,0.3573239270133215
building_energy,0,recent_median_12,11,0.36856382552709527
building_energy,0,recent_median_12,12,0.3767865454497079
building_energy,0,recent_median_12,13,0.38727271175393035
building_energy,0,recent_median_12,14,0.40194305546500175
building_energy,0,recent_median_12,15,0.4130932404444487
building_energy,0,recent_median_12,16,0.42501562916690594
building_energy,0,recent_median_12,17,0.4359042300992717
building_energy,0,recent_median_12,18,0.4479781404354479
building_energy,0,recent_median_12,19,0.4559031573554125
building_energy,0,recent_median_12,20,0.46907723744820634
building_energy,0,recent_median_12,21,0.48095103616909907
building_energy,0,recent_median_12,22,0.4957899003333393
building_energy,0,recent_median_12,23,0.5101624172370784
building_energy,0,recent_median_12,24,0.5239098302083007
building_energy,0,recent_median_24,1,0.25298314553370665
building_energy,0,recent_median_24,2,0.27193161316270203
building_energy,0,recent_median_24,3,0.2951408944012716
building_energy,0,recent_median_24,4,0.31542063430392886
building_energy,0,recent_median_24,5,0.33776787697831867
building_energy,0,recent_median_24,6,0.3522541361438597
building_energy,0,recent_median_24,7,0.36847645799647377
building_energy,0,recent_median_24,8,0.3829160143302613
building_energy,0,recent_median_24,9,0.4056814676499194
building_energy,0,recent_median_24,10,0.4222370650434116
building_energy,0,recent_median_24,11,0.43155485870970217
building_energy,0,recent_median_24,12,0.4390990365559109
building_energy,0,recent_median_24,13,0.4478329219797957
building_energy,0,recent_median_24,14,0.4615733924298674
building_energy,0,recent_median_24,15,0.47209187249880463
building_energy,0,recent_median_24,16,0.48361770080695365
building_energy,0,recent_median_24,17,0.49342476019100523
building_energy,0,recent_median_24,18,0.5049412417360528
building_energy,0,recent_median_24,19,0.5120992588545087
building_energy,0,recent_median_24,20,0.52407480653536
building_energy,0,recent_median_24,21,0.5330981537957903
building_energy,0,recent_median_24,22,0.5467561870247103
building_energy,0,recent_median_24,23,0.5604751341327583
building_energy,0,recent_median_24,24,0.572322075136005
building_energy,0,holt_0.3_0.1_0.8,1,0.08395972870849983
building_energy,0,holt_0.3_0.1_0.8,2,0.10968887957926514
building_energy,0,holt_0.3_0.1_0.8,3,0.13542523492867914
building_energy,0,holt_0.3_0.1_0.8,4,0.1597062543565411
building_energy,0,holt_0.3_0.1_0.8,5,0.18481977101885755
building_energy,0,holt_0.3_0.1_0.8,6,0.20248334128340015
building_energy,0,holt_0.3_0.1_0.8,7,0.2219135465322914
building_energy,0,holt_0.3_0.1_0.8,8,0.2386943611705418
building_energy,0,holt_0.3_0.1_0.8,9,0.26413374714878746
building_energy,0,holt_0.3_0.1_0.8,10,0.28435437606414704
building_energy,0,holt_0.3_0.1_0.8,11,0.30046897290789426
building_energy,0,holt_0.3_0.1_0.8,12,0.3104543288626218
building_energy,0,holt_0.3_0.1_0.8,13,0.32253456677752523
building_energy,0,holt_0.3_0.1_0.8,14,0.3353857816956972
building_energy,0,holt_0.3_0.1_0.8,15,0.3489698631393124
building_energy,0,holt_0.3_0.1_0.8,16,0.36043909482413944
building_energy,0,holt_0.3_0.1_0.8,17,0.3745021366120901
building_energy,0,holt_0.3_0.1_0.8,18,0.38666249872854025
building_energy,0,holt_0.3_0.1_0.8,19,0.39573324491381057
building_energy,0,holt_0.3_0.1_0.8,20,0.4115362889397073
building_energy,0,holt_0.3_0.1_0.8,21,0.42431906780861284
building_energy,0,holt_0.3_0.1_0.8,22,0.4405851034299382
building_energy,0,holt_0.3_0.1_0.8,23,0.45625988440149234
building_energy,0,holt_0.3_0.1_0.8,24,0.47181147054790523
building_energy,0,holt_0.3_0.1_0.95,1,0.0811954490731007
building_energy,0,holt_0.3_0.1_0.95,2,0.10581225692525649
building_energy,0,holt_0.3_0.1_0.95,3,0.13050947845605632
building_energy,0,holt_0.3_0.1_0.95,4,0.1539778787726009
building_energy,0,holt_0.3_0.1_0.95,5,0.1777688787261855
building_energy,0,holt_0.3_0.1_0.95,6,0.1952088858303467
building_energy,0,holt_0.3_0.1_0.95,7,0.21357918947339022
building_energy,0,holt_0.3_0.1_0.95,8,0.2300995004232525
building_energy,0,holt_0.3_0.1_0.95,9,0.2546596675338105
building_energy,0,holt_0.3_0.1_0.95,10,0.2747938052080478
building_energy,0,holt_0.3_0.1_0.95,11,0.2910389289416986
building_energy,0,holt_0.3_0.1_0.95,12,0.30157691530245073
building_energy,0,holt_0.3_0.1_0.95,13,0.3127204247065819
building_energy,0,holt_0.3_0.1_0.95,14,0.32415961594823994
building_energy,0,holt_0.3_0.1_0.95,15,0.33910152402202737
building_energy,0,holt_0.3_0.1_0.95,16,0.3510302776905745
building_energy,0,holt_0.3_0.1_0.95,17,0.3657512821154334
building_energy,0,holt_0.3_0.1_0.95,18,0.3777358777274111
building_energy,0,holt_0.3_0.1_0.95,19,0.3866766196178823
building_energy,0,holt_0.3_0.1_0.95,20,0.40401258698664794
building_energy,0,holt_0.3_0.1_0.95,21,0.4178078779433335
building_energy,0,holt_0.3_0.1_0.95,22,0.4363356235950971
building_energy,0,holt_0.3_0.1_0.95,23,0.4532879830027981
building_energy,0,holt_0.3_0.1_0.95,24,0.47104253851562244
building_energy,0,history_local,1,0.046319511855277044
building_energy,0,history_local,2,0.07541309503827667
building_energy,0,history_local,3,0.10282629685387175
building_energy,0,history_local,4,0.1269099484421
building_energy,0,history_local,5,0.15143970982413937
building_energy,0,history_local,6,0.16861483139394673
building_energy,0,history_local,7,0.18859335670175403
building_energy,0,history_local,8,0.20592765970572552
building_energy,0,history_local,9,0.23118459236122066
building_energy,0,history_local,10,0.24983412194988716
building_energy,0,history_local,11,0.2655614755595246
building_energy,0,history_local,12,0.27498676419930196
building_energy,0,history_local,13,0.2861799513580261
building_energy,0,history_local,14,0.2998624695632007
building_energy,0,history_local,15,0.311654669372191
building_energy,0,history_local,16,0.323577847480649
building_energy,0,history_local,17,0.33606396181557696
building_energy,0,history_local,18,0.3497203367954123
building_energy,0,history_local,19,0.35873974710236817
building_energy,0,history_local,20,0.37388413877915694
building_energy,0,history_local,21,0.38687569012330963
building_energy,0,history_local,22,0.4037145373332272
building_energy,0,history_local,23,0.4205903445636204
building_energy,0,history_local,24,0.4362157645928508
building_energy,0,mean_bank,1,0.09187200052212975
building_energy,0,mean_bank,2,0.11728456367857558
building_energy,0,mean_bank,3,0.14185391204255685
building_energy,0,mean_bank,4,0.16484968003402245
building_energy,0,mean_bank,5,0.18968494861684992
building_energy,0,mean_bank,6,0.20608126187424017
building_energy,0,mean_bank,7,0.2243752920288522
building_energy,0,mean_bank,8,0.24011844980374522
building_energy,0,mean_bank,9,0.26551024551311203
building_energy,0,mean_bank,10,0.28474965057054064
building_energy,0,mean_bank,11,0.30029515715442795
building_energy,0,mean_bank,12,0.3095258660714187
building_energy,0,mean_bank,13,0.32105243393316996
building_energy,0,mean_bank,14,0.334442162204299
building_energy,0,mean_bank,15,0.3471354611051572
building_energy,0,mean_bank,16,0.3582913006900461
building_energy,0,mean_bank,17,0.3714942375002135
building_energy,0,mean_bank,18,0.38334267570032365
building_energy,0,mean_bank,19,0.39241325374134756
building_energy,0,mean_bank,20,0.40730983655923464
building_energy,0,mean_bank,21,0.4203841123518444
building_energy,0,mean_bank,22,0.4364318981828056
building_energy,0,mean_bank,23,0.45275654293499307
building_energy,0,mean_bank,24,0.4681879642427378
building_energy,17,moirai,1,0.0447251856376352
building_energy,17,moirai,2,0.06695253582059389
building_energy,17,moirai,3,0.09110218282240849
building_energy,17,moirai,4,0.11317188131912459
building_energy,17,moirai,5,0.1381028890276074
building_energy,17,moirai,6,0.1521395319283508
building_energy,17,moirai,7,0.1699487258794143
building_energy,17,moirai,8,0.18669039605042556
building_energy,17,moirai,9,0.21291848247832704
building_energy,17,moirai,10,0.23307905707145404
building_energy,17,moirai,11,0.2459738394410305
building_energy,17,moirai,12,0.25285013853479554
building_energy,17,moirai,13,0.2638798242123301
building_energy,17,moirai,14,0.27841086144884725
building_energy,17,moirai,15,0.29267601447345415
building_energy,17,moirai,16,0.3027816524594106
building_energy,17,moirai,17,0.33379511351482083
building_energy,17,moirai,18,0.34943683826695116
building_energy,17,moirai,19,0.3551828350097467
building_energy,17,moirai,20,0.3698647599470353
building_energy,17,moirai,21,0.382854093079442
building_energy,17,moirai,22,0.4020941341255185
building_energy,17,moirai,23,0.41425117347821294
building_energy,17,moirai,24,0.42712078446470036
building_energy,17,gaugeformer_v13,1,0.04108468310919028
building_energy,17,gaugeformer_v13,2,0.06593382832692729
building_energy,17,gaugeformer_v13,3,0.09061619485658563
building_energy,17,gaugeformer_v13,4,0.11271034250801558
building_energy,17,gaugeformer_v13,5,0.13691110620751204
building_energy,17,gaugeformer_v13,6,0.15161670891634
building_energy,17,gaugeformer_v13,7,0.17017625388375568
building_energy,17,gaugeformer_v13,8,0.18659288467997753
building_energy,17,gaugeformer_v13,9,0.21191263377673022
building_energy,17,gaugeformer_v13,10,0.2318395494007806
building_energy,17,gaugeformer_v13,11,0.24453352972716552
building_energy,17,gaugeformer_v13,12,0.25231396310859133
building_energy,17,gaugeformer_v13,13,0.2633901161861374
building_energy,17,gaugeformer_v13,14,0.27770583409049127
building_energy,17,gaugeformer_v13,15,0.2907569588058615
building_energy,17,gaugeformer_v13,16,0.3015908719668397
building_energy,17,gaugeformer_v13,17,0.32131123116547355
building_energy,17,gaugeformer_v13,18,0.3361345285655779
building_energy,17,gaugeformer_v13,19,0.3429012818836299
building_energy,17,gaugeformer_v13,20,0.35770071859016267
building_energy,17,gaugeformer_v13,21,0.370349396352799
building_energy,17,gaugeformer_v13,22,0.38859795161834726
building_energy,17,gaugeformer_v13,23,0.4035924327592697
building_energy,17,gaugeformer_v13,24,0.4177716437993682
building_energy,17,blend_persistence,1,0.03986594536513631
building_energy,17,blend_persistence,2,0.06825157711295157
building_energy,17,blend_persistence,3,0.09502606240318481
building_energy,17,blend_persistence,4,0.1197708360227415
building_energy,17,blend_persistence,5,0.14548576460170887
building_energy,17,blend_persistence,6,0.16186016257923885
building_energy,17,blend_persistence,7,0.18028907624713622
building_energy,17,blend_persistence,8,0.19706739660254274
building_energy,17,blend_persistence,9,0.22359084396094087
building_energy,17,blend_persistence,10,0.24330846335896406
building_energy,17,blend_persistence,11,0.2588657561408303
building_energy,17,blend_persistence,12,0.26664389016373724
building_energy,17,blend_persistence,13,0.27793766809688075
building_energy,17,blend_persistence,14,0.2921638721925733
building_energy,17,blend_persistence,15,0.3064296744908917
building_energy,17,blend_persistence,16,0.3172476065519304
building_energy,17,blend_persistence,17,0.335360693267257
building_energy,17,blend_persistence,18,0.34772748126870234
building_energy,17,blend_persistence,19,0.35535746693667514
building_energy,17,blend_persistence,20,0.37019133837785334
building_energy,17,blend_persistence,21,0.3835647759158271
building_energy,17,blend_persistence,22,0.4009558313098171
building_energy,17,blend_persistence,23,0.41707032229683305
building_energy,17,blend_persistence,24,0.43068608091696875
building_energy,17,blend_history,1,0.04080675116289962
building_energy,17,blend_history,2,0.06714397683266944
building_energy,17,blend_history,3,0.0927884563132183
building_energy,17,blend_history,4,0.11540946244039563
building_energy,17,blend_history,5,0.13972324298619349
building_energy,17,blend_history,6,0.15480929504640492
building_energy,17,blend_history,7,0.17336780219437894
building_energy,17,blend_history,8,0.1896486327540179
building_energy,17,blend_history,9,0.21518024303704292
building_energy,17,blend_history,10,0.23451341471474282
building_energy,17,blend_history,11,0.24768088812592465
building_energy,17,blend_history,12,0.25537384717918815
building_energy,17,blend_history,13,0.2666518044911904
building_energy,17,blend_history,14,0.2809371986460605
building_energy,17,blend_history,15,0.29380743540937215
building_energy,17,blend_history,16,0.30494106028764495
building_energy,17,blend_history,17,0.3204665088054176
building_energy,17,blend_history,18,0.33450310796407007
building_energy,17,blend_history,19,0.3413251870936095
building_energy,17,blend_history,20,0.3553778614866548
building_energy,17,blend_history,21,0.36766466269891923
building_energy,17,blend_history,22,0.38473481230188555
building_energy,17,blend_history,23,0.4010068399540949
building_energy,17,blend_history,24,0.4150276986431493
building_energy,29,moirai,1,0.045399777388507936
building_energy,29,moirai,2,0.06686681608484274
building_energy,29,moirai,3,0.09153940164493263
building_energy,29,moirai,4,0.11277987532160547
building_energy,29,moirai,5,0.137288256814365
building_energy,29,moirai,6,0.15129382927272
building_energy,29,moirai,7,0.16985485527065422
building_energy,29,moirai,8,0.1868481354328847
building_energy,29,moirai,9,0.2120795229608996
building_energy,29,moirai,10,0.23203938679112587
building_energy,29,moirai,11,0.24490431049495512
building_energy,29,moirai,12,0.2531473362568037
building_energy,29,moirai,13,0.26305712646015156
building_energy,29,moirai,14,0.2779540297079013
building_energy,29,moirai,15,0.2905400360700463
building_energy,29,moirai,16,0.30245213952156036
building_energy,29,moirai,17,0.33122209046804885
building_energy,29,moirai,18,0.3477087412552348
building_energy,29,moirai,19,0.35504446114574284
building_energy,29,moirai,20,0.3701149021125133
building_energy,29,moirai,21,0.3830809769756558
building_energy,29,moirai,22,0.3997425244921653
building_energy,29,moirai,23,0.41225357610416635
building_energy,29,moirai,24,0.42490221075463364
building_energy,29,gaugeformer_v13,1,0.0415658861835226
